岗位,公司,工资,地区,发布时间
机器学习工程师 ,  上海塞嘉电子科技有限公司  , 15000-25000 , 上海-闵行区 , 06-07
机器学习工程师 ,  上海塞嘉电子科技有限公司  , 15000-25000 , 杭州-西湖区 , 06-07
高级机器学习开发工程师 ,  北京老虎致远科技有限公司  , 50001-70000 , 北京-海淀区 , 06-07
算法工程师（机器学习） ,  浙江艾罗网络能源技术有限公司  , 6000-12000 , 武汉 , 06-07
心电算法工程师（机器学习方向） ,  武汉朗迪远程医疗科技有限公司北京研发部  , 15001-20000 , 北京-海淀区 , 06-07
同花顺--深度/机器学习/语音 实习生 ,  浙江核新同花顺网络信息股份有限公司  , 2500-5000 , 杭州 , 06-07
机器学习工程师 ,  北京招通致晟软件技术有限公司  , 10001-15000 , 北京-东城区 , 06-07
机器学习算法工程师 ,  山东海博科技信息系统有限公司  , 8001-10000 , 青岛-市北区（新行政区） , 06-07
机器学习算法实习生 ,  北京好运到信息科技有限公司  , 2001-4000 , 北京-海淀区 , 06-07
机器学习工程师 ,  智擎信息技术（北京）有限公司  , 15000-30000 , 北京 , 06-06
机器学习/深度学习算法工程师 ,  深圳市招科智控科技有限公司  , 15001-20000 , 深圳 , 06-06
机器学习算法工程师（金融类） ,  无锡火球普惠信息科技有限公司上海分公司  , 8001-10000 , 无锡-无锡新区 , 06-06
机器学习工程师/研究员 ,  北京商高科技有限公司  , 20000-25000 , 北京 , 06-06
机器学习算法工程师 ,  成都理想境界科技有限公司  , 15001-20000 , 成都 , 06-06
高级机器学习工程师 ,  北京多维视通技术有限公司  , 15000-25000 , 北京 , 06-06
数据分析师 - 机器学习算法，数据分析 ,  北京普路科技有限公司  , 15001-20000 , 北京 , 06-06
机器学习工程师 ,  东方头条  , 15000-30000 , 上海 , 06-05
算法开发（机器学习） ,  舜宇集团有限公司  , 面议 , 宁波 , 06-05
大数据挖掘/人工智能/机器学习 首席架构师 ,  上海宝藤生物医药科技股份有限公司  , 25000-50000 , 上海-浦东新区 , 06-05
Python开发工程师/机器学习算法方向 ,  网智天元科技集团股份有限公司  , 15001-20000 , 北京-西城区 , 06-05
算法工程师（机器学习） ,  北京深蓝海域信息科技有限公司  , 6001-8000 , 成都-高新区 , 06-05
算法工程师（机器学习） ,  北京深蓝海域信息科技有限公司  , 6001-8000 , 北京-昌平区 , 06-05
NLP工程师（人工智能/机器学习/自然语言处理） ,  深圳前海白羽毛互联网金融服务有限公司  , 18000-25000 , 北京 , 刚刚
自然语言处理 算法工程师 NLP 高级机器学习工程师 ,  深圳狗尾草智能科技有限公司  , 15000-30000 , 上海 , 昨天
自然语言处理 算法工程师 NLP 高级机器学习工程师 ,  深圳狗尾草智能科技有限公司  , 15000-30000 , 深圳 , 昨天
机器学习 ,  南京信息技术研究院2017  , 面议 , 南京 , 昨天
机器学习与人工智能工程师 ,  顺丰科技海外招聘  , 面议 , 深圳 , 昨天
机器学习与人工智能工程师 ,  顺丰科技有限公司  , 面议 , 深圳 , 昨天
图像算法/机器学习工程师(美图实验室)—深圳 ,  美图公司 实验室  , 面议 , 深圳 , 昨天
机器学习与人工智能工程师 ,  顺丰科技有限公司  , 面议 , 深圳 , 昨天
