,pinyin,unicode
154,REN4,"['\\u4EDE', '\\u4EED', '\\u4EFB', '\\u5203', '\\u5204', '\\u598A', '\\u59D9', '\\u5C7B', '\\u6041', '\\u6268', '\\u6752', '\\u6895', '\\u7263', '\\u7D09', '\\u7D1D', '\\u7EAB', '\\u8095', '\\u887D', '\\u88B5', '\\u8A12', '\\u8A8D', '\\u8BA4', '\\u8BB1', '\\u8D41', '\\u8ED4', '\\u8EE0', '\\u8F6B', '\\u976D', '\\u9771', '\\u97CC', '\\u97E7', '\\u98EA', '\\u9901', '\\u996A', '\\u9D40']"
155,QIAN1,"['\\u4EDF', '\\u4F65', '\\u50C9', '\\u515B', '\\u5343', '\\u5731', '\\u5732', '\\u5977', '\\u5A5C', '\\u5B6F', '\\u5C8D', '\\u5E75', '\\u60AD', '\\u6106', '\\u6173', '\\u6266', '\\u62EA', '\\u6394', '\\u6434', '\\u6481', '\\u6510', '\\u6511', '\\u6513', '\\u6744', '\\u6AB6', '\\u6ACF', '\\u6B26', '\\u6C58', '\\u6C67', '\\u7275', '\\u727D', '\\u7B7E', '\\u7C3D', '\\u7C64', '\\u7C81', '\\u7E34', '\\u7F9F', '\\u80B7', '\\u8181', '\\u81E4', '\\u828A', '\\u8688', '\\u8930', '\\u8AD0', '\\u8B19', '\\u8B63', '\\u8C26', '\\u8C38', '\\u8FC1', '\\u9077', '\\u91FA', '\\u925B', '\\u92DF', '\\u9431', '\\u948E', '\\u94C5', '\\u9513', '\\u9621', '\\u97C6', '\\u9869', '\\u9A2B', '\\u9A9E', '\\u9B1C', '\\u9B1D', '\\u9D6E', '\\u9E50']"
156,GAN2,['\\u4EE0']
157,DI2,"['\\u4EE2', '\\u5519', '\\u5547', '\\u5600', '\\u5681', '\\u5AE1', '\\u5EF8', '\\u654C', '\\u6575', '\\u6891', '\\u6DA4', '\\u6ECC', '\\u6F6A', '\\u72C4', '\\u7B1B', '\\u7BF4', '\\u7C74', '\\u7CF4', '\\u7FDF', '\\u837B', '\\u850B', '\\u8510', '\\u85E1', '\\u89BF', '\\u89CC', '\\u8C74', '\\u8E62', '\\u8FEA', '\\u93D1', '\\u955D', '\\u976E', '\\u9814', '\\u9E10']"
158,DAI4,"['\\u4EE3', '\\u53C7', '\\u57ED', '\\u5CB1', '\\u5E12', '\\u5E26', '\\u5E2F', '\\u5E36', '\\u5ED7', '\\u5F85', '\\u6020', '\\u6234', '\\u67CB', '\\u6B86', '\\u6C4F', '\\u703B', '\\u73B3', '\\u7447', '\\u7519', '\\u7C24', '\\u7D3F', '\\u7DFF', '\\u7ED0', '\\u825C', '\\u888B', '\\u8976', '\\u8CB8', '\\u8D37', '\\u8DE2', '\\u8E5B', '\\u8EDA', '\\u8EE9', '\\u8FE8', '\\u902E', '\\u9734', '\\u9746', '\\u9EDB', '\\u9EF1']"
159,LING4,"['\\u4EE4', '\\u53E6', '\\u6395', '\\u70A9']"
160,CHAO4,"['\\u4EE6', '\\u4EEF', '\\u8016', '\\u89D8']"
161,CHANG2,"['\\u4EE7', '\\u507F', '\\u511F', '\\u514F', '\\u5617', '\\u5690', '\\u573A', '\\u5834', '\\u5872', '\\u5AE6', '\\u5C1D', '\\u5E38', '\\u5F9C', '\\u747A', '\\u74FA', '\\u751E', '\\u80A0', '\\u8178', '\\u8193', '\\u82CC', '\\u8407', '\\u88F3', '\\u92FF', '\\u93DB', '\\u9577', '\\u9578', '\\u957F', '\\u9C68', '\\u9CBF']"
162,SA1,"['\\u4EE8', '\\u6492']"
163,MU4,"['\\u4EEB', '\\u52DF', '\\u5776', '\\u5893', '\\u5E55', '\\u5E59', '\\u6155', '\\u66AE', '\\u6728', '\\u6958', '\\u6BE3', '\\u6C90', '\\u7091', '\\u7267', '\\u72C7', '\\u76EE', '\\u7766', '\\u7A46', '\\u82DC', '\\u83AF', '\\u869E', '\\u926C', '\\u94BC', '\\u96EE', '\\u9702', '\\u97AA', '\\u9E5C']"
164,MEN5,"['\\u4EEC', '\\u5011']"
165,JIA3,"['\\u4EEE', '\\u5047', '\\u53DA', '\\u5A7D', '\\u5CAC', '\\u5FA6', '\\u659A', '\\u659D', '\\u6935', '\\u698E', '\\u69DA', '\\u6A9F', '\\u73BE', '\\u7532', '\\u7615', '\\u80DB', '\\u8CC8', '\\u8D3E', '\\u9240', '\\u94BE']"
166,YANG3,"['\\u4EF0', '\\u509F', '\\u517B', '\\u52E8', '\\u5771', '\\u5C9F', '\\u6143', '\\u61E9', '\\u62B0', '\\u6501', '\\u6C27', '\\u6C31', '\\u70B4', '\\u75D2', '\\u7662', '\\u8746', '\\u9785', '\\u990A', '\\u990B', '\\u99DA']"
167,QIAN2,"['\\u4EF1', '\\u524D', '\\u5A8A', '\\u5C92', '\\u5FF4', '\\u6272', '\\u62D1', '\\u63AE', '\\u63F5', '\\u69A9', '\\u6B6C', '\\u6F27', '\\u6F5B', '\\u6F5C', '\\u6FF3', '\\u704A', '\\u71C2', '\\u7B9D', '\\u8465', '\\u8654', '\\u9210', '\\u9257', '\\u92AD', '\\u9322', '\\u94A4', '\\u94B1', '\\u94B3', '\\u9A1A', '\\u9B35', '\\u9C2C', '\\u9ED4', '\\u9EDA']"
168,PI3,"['\\u4EF3', '\\u5339', '\\u567D', '\\u56AD', '\\u572E', '\\u5D25', '\\u5E80', '\\u758B', '\\u75DE', '\\u7656', '\\u8134', '\\u82C9', '\\u8AC0', '\\u92A2', '\\u96A6']"
169,JIAN4,"['\\u4EF6', '\\u4F9F', '\\u4FF4', '\\u4FFF', '\\u5065', '\\u50E3', '\\u50ED', '\\u5251', '\\u5263', '\\u5271', '\\u528D', '\\u528E', '\\u5292', '\\u5294', '\\u5EFA', '\\u5FA4', '\\u64F6', '\\u65D4', '\\u67A7', '\\u682B', '\\u6898', '\\u6957', '\\u6997', '\\u69DB', '\\u6ABB', '\\u6BFD', '\\u6D0A', '\\u6DA7', '\\u6E10', '\\u6E85', '\\u6F38', '\\u6F97', '\\u6FFA', '\\u7033', '\\u726E', '\\u73D4', '\\u78F5', '\\u7BAD', '\\u7CCB', '\\u7E5D', '\\u8171', '\\u81F6', '\\u8230', '\\u8266', '\\u8350', '\\u852A', '\\u85A6', '\\u87B9', '\\u8949', '\\u898B', '\\u89B5', '\\u89B8', '\\u89C1', '\\u8ACC', '\\u8AD3', '\\u8AEB', '\\u8B7C', '\\u8C0F', '\\u8CCE', '\\u8CE4', '\\u8D31', '\\u8D9D', '\\u8DF5', '\\u8E10', '\\u8E3A', '\\u91FC', '\\u9274', '\\u92FB', '\\u9373', '\\u9375', '\\u93E9', '\\u9451', '\\u9452', '\\u946C', '\\u9473', '\\u952E', '\\u991E', '\\u996F', '\\u9C0E']"
170,JIA4,"['\\u4EF7', '\\u4FA1', '\\u50F9', '\\u5AC1', '\\u67B6', '\\u69A2', '\\u7A3C', '\\u99D5', '\\u9A7E']"
171,YAO3,"['\\u4EF8', '\\u5060', '\\u54AC', '\\u5A79', '\\u5B8E', '\\u5C86', '\\u5D3E', '\\u62AD', '\\u6773', '\\u67FC', '\\u699A', '\\u6B80', '\\u6E94', '\\u7711', '\\u7A85', '\\u7A88', '\\u7A94', '\\u8200', '\\u82ED', '\\u84D4', '\\u95C4', '\\u9A15', '\\u9DD5', '\\u9F3C', '\\u9F69']"
172,FEN4,"['\\u4EFD', '\\u507E', '\\u50E8', '\\u574B', '\\u594B', '\\u596E', '\\u5FFF', '\\u6124', '\\u61A4', '\\u7035', '\\u7CAA', '\\u7CDE', '\\u81B9', '\\u9C5D', '\\u9CBC']"
173,DI1,"['\\u4EFE', '\\u4F4E', '\\u5824', '\\u5891', '\\u6EF4', '\\u7721', '\\u78FE', '\\u7F9D', '\\u83C2', '\\u889B', '\\u8D86', '\\u9349', '\\u9684', '\\u97AE']"
174,FANG3,"['\\u4EFF', '\\u5023', '\\u65CA', '\\u6609', '\\u6618', '\\u74EC', '\\u7706', '\\u7D21', '\\u7EBA', '\\u822B', '\\u8A2A', '\\u8BBF', '\\u9AE3', '\\u9DAD']"
175,PEI4,"['\\u4F02', '\\u4F69', '\\u59F5', '\\u5E14', '\\u65BE', '\\u65C6', '\\u6C9B', '\\u6D7F', '\\u73EE', '\\u7B29', '\\u82DD', '\\u8F61', '\\u8F94', '\\u914D', '\\u9708', '\\u99B7']"
176,DIAO4,"['\\u4F04', '\\u540A', '\\u5F14', '\\u6389', '\\u7639', '\\u7A8E', '\\u7AB5', '\\u7AE8', '\\u839C', '\\u84E7', '\\u85CB', '\\u8A0B', '\\u8ABF', '\\u8C03', '\\u91E3', '\\u92B1', '\\u92FD', '\\u9443', '\\u9493', '\\u94DE', '\\u9B61']"
177,DUN4,"['\\u4F05', '\\u56E4', '\\u5D38', '\\u5E89', '\\u627D', '\\u6C8C', '\\u6F61', '\\u71C9', '\\u76FE', '\\u7818', '\\u8E32', '\\u9007', '\\u9041', '\\u906F', '\\u920D', '\\u949D', '\\u9813', '\\u987F', '\\u9DA8']"
178,WEN4,"['\\u4F06', '\\u554F', '\\u598F', '\\u6286', '\\u63FE', '\\u6435', '\\u6C76', '\\u6E02', '\\u74BA', '\\u7D0A', '\\u83AC', '\\u95EE']"
179,XIN3,['\\u4F08']
180,AI4,"['\\u4F0C', '\\u50FE', '\\u53C6', '\\u55F3', '\\u5867', '\\u58D2', '\\u5AD2', '\\u5B21', '\\u611B', '\\u61D3', '\\u61DD', '\\u66A7', '\\u66D6', '\\u6FED', '\\u7231', '\\u7477', '\\u74A6', '\\u76A7', '\\u77B9', '\\u7828', '\\u784B', '\\u788D', '\\u7919', '\\u827E', '\\u8586', '\\u8B6A', '\\u8CF9', '\\u9440', '\\u9698', '\\u9749', '\\u9D31']"
181,JI4,"['\\u4F0E', '\\u517E', '\\u5180', '\\u5242', '\\u5264', '\\u5291', '\\u54DC', '\\u568C', '\\u5756', '\\u578D', '\\u5848', '\\u5993', '\\u5B63', '\\u5BC2', '\\u5BC4', '\\u5F50', '\\u5F51', '\\u5FCC', '\\u60B8', '\\u60CE', '\\u61FB', '\\u6280', '\\u65E1', '\\u65E2', '\\u65E3', '\\u66A8', '\\u66C1', '\\u689E', '\\u6A95', '\\u6AB5', '\\u6D0E', '\\u6D4E', '\\u6E08', '\\u6F08', '\\u6FDF', '\\u7031', '\\u7324', '\\u74BE', '\\u75F5', '\\u7608', '\\u7660', '\\u77A1', '\\u796D', '\\u7A29', '\\u7A37', '\\u7A44', '\\u7A4A', '\\u7A67', '\\u7D00', '\\u7D99', '\\u7E7C', '\\u7EAA', '\\u7EE7', '\\u7F7D', '\\u81EE', '\\u82B0', '\\u830D', '\\u8324', '\\u846A', '\\u84DF', '\\u8507', '\\u858A', '\\u860E', '\\u862E', '\\u863B', '\\u88DA', '\\u8900', '\\u89AC', '\\u89CA', '\\u8A08', '\\u8A18', '\\u8A8B', '\\u8BA1', '\\u8BB0', '\\u8DFD', '\\u9645', '\\u969B', '\\u9701', '\\u973D', '\\u9A65', '\\u9AA5', '\\u9AFB', '\\u9B3E', '\\u9B5D', '\\u9B86', '\\u9BDA', '\\u9BFD', '\\u9C36', '\\u9C40', '\\u9C6D', '\\u9C9A', '\\u9CAB', '\\u9D4B', '\\u9F4C']"
182,XIU1,"['\\u4F11', '\\u4FE2', '\\u4FEE', '\\u54BB', '\\u5EA5', '\\u6A07', '\\u70CC', '\\u7F9E', '\\u8129', '\\u81F9', '\\u8320', '\\u84DA', '\\u8C85', '\\u929D', '\\u9380', '\\u93C5', '\\u9948', '\\u9990', '\\u9AE4', '\\u9AF9', '\\u9D42', '\\u9E3A']"
183,JIN4,"['\\u4F12', '\\u50F8', '\\u51DA', '\\u52A4', '\\u52C1', '\\u5664', '\\u568D', '\\u5890', '\\u5997', '\\u5AE4', '\\u5B27', '\\u5BD6', '\\u6422', '\\u6649', '\\u664B', '\\u669C', '\\u6783', '\\u6B4F', '\\u6BA3', '\\u6D55', '\\u6D78', '\\u6E8D', '\\u6FC5', '\\u6FDC', '\\u70EC', '\\u71FC', '\\u740E', '\\u7468', '\\u74A1', '\\u74B6', '\\u763D', '\\u76E1', '\\u7981', '\\u7E09', '\\u7F19', '\\u80B5', '\\u8369', '\\u84F3', '\\u85CE', '\\u8CEE', '\\u8D10', '\\u8D46', '\\u8FD1', '\\u8FDB', '\\u9032', '\\u9773', '\\u9F7D']"
184,BEI1,"['\\u4F13', '\\u5351', '\\u5CA5', '\\u5EB3', '\\u60B2', '\\u63F9', '\\u676F', '\\u686E', '\\u6911', '\\u76C3', '\\u7891', '\\u7986', '\\u7DBC', '\\u85E3', '\\u9303', '\\u9642', '\\u9D6F', '\\u9E4E']"
185,FU1,"['\\u4F15', '\\u544B', '\\u592B', '\\u598B', '\\u59C7', '\\u5B75', '\\u5C03', '\\u6024', '\\u61EF', '\\u6577', '\\u65C9', '\\u67B9', '\\u67CE', '\\u6CED', '\\u739E', '\\u7806', '\\u7A03', '\\u7B5F', '\\u7CD0', '\\u7D92', '\\u80A4', '\\u819A', '\\u8374', '\\u886D', '\\u8C67', '\\u8DBA', '\\u8DD7', '\\u909E', '\\u911C', '\\u9207', '\\u9CFA', '\\u9EA9', '\\u9EAC', '\\u9EB1', '\\u9EB8']"
186,TANG3,"['\\u4F16', '\\u5018', '\\u5052', '\\u50A5', '\\u513B', '\\u5E11', '\\u6203', '\\u66ED', '\\u6DCC', '\\u7223', '\\u77D8', '\\u8025', '\\u8EBA', '\\u93B2', '\\u9482', '\\u954B']"
187,YOU1,"['\\u4F18', '\\u512A', '\\u5466', '\\u5698', '\\u5E7D', '\\u5FE7', '\\u602E', '\\u60A0', '\\u6182', '\\u6538', '\\u6ACC', '\\u7000', '\\u7E8B', '\\u8030', '\\u913E', '\\u9E80']"
188,HUO3,"['\\u4F19', '\\u5925', '\\u706B', '\\u90A9', '\\u9225']"
189,HUI4,"['\\u4F1A', '\\u50E1', '\\u5136', '\\u532F', '\\u5349', '\\u5599', '\\u5612', '\\u5667', '\\u5696', '\\u571A', '\\u5B07', '\\u5BED', '\\u5EC6', '\\u5F57', '\\u5F59', '\\u5F5A', '\\u605A', '\\u6075', '\\u60E0', '\\u6167', '\\u6193', '\\u6666', '\\u66B3', '\\u6703', '\\u69E5', '\\u6A5E', '\\u6AD8', '\\u6BA8', '\\u6C47', '\\u6CCB', '\\u6E4F', '\\u6ED9', '\\u6F53', '\\u6FCA', '\\u70E9', '\\u71F4', '\\u7369', '\\u74AF', '\\u77BA', '\\u79FD', '\\u7A62', '\\u7BF2', '\\u7D75', '\\u7E62', '\\u7E6A', '\\u7ED8', '\\u7F0B', '\\u7FD9', '\\u7FFD', '\\u835F', '\\u8527', '\\u8559', '\\u8588', '\\u85F1', '\\u879D', '\\u87EA', '\\u8A6F', '\\u8AA8', '\\u8AF1', '\\u8B53', '\\u8B7F', '\\u8BB3', '\\u8BF2', '\\u8CC4', '\\u8D3F', '\\u93F8', '\\u942C', '\\u95E0', '\\u9613', '\\u9767', '\\u97E2', '\\u982E', '\\u9892', '\\u992F', '\\u9956']"
190,CUI4,"['\\u4F1C', '\\u5005', '\\u5550', '\\u555B', '\\u5FF0', '\\u60B4', '\\u6BF3', '\\u6DEC', '\\u7120', '\\u7417', '\\u75A9', '\\u7601', '\\u7AC1', '\\u7C8B', '\\u7CB9', '\\u7D23', '\\u7DB7', '\\u7FC6', '\\u7FE0', '\\u8103', '\\u8106', '\\u813A', '\\u81AC', '\\u81B5', '\\u81CE', '\\u8403', '\\u9847']"
191,CHUAN2,"['\\u4F1D', '\\u4F20', '\\u50B3', '\\u570C', '\\u66B7', '\\u693D', '\\u6B42', '\\u8229', '\\u8239', '\\u8AEF', '\\u8F32', '\\u9044']"
192,CHE1,"['\\u4F21', '\\u4FE5', '\\u5513', '\\u7817', '\\u7868', '\\u8397', '\\u86FC', '\\u8ECA', '\\u8F66']"
193,YA2,"['\\u4F22', '\\u5393', '\\u5810', '\\u5C88', '\\u5D15', '\\u5D16', '\\u6792', '\\u6860', '\\u6DAF', '\\u6F04', '\\u7259', '\\u72BD', '\\u731A', '\\u7B0C', '\\u82BD', '\\u869C', '\\u8859', '\\u9F56']"
194,XIAN4,"['\\u4F23', '\\u4FD4', '\\u50E9', '\\u50F4', '\\u53BF', '\\u549E', '\\u54EF', '\\u57B7', '\\u59ED', '\\u5A0A', '\\u5BAA', '\\u5C98', '\\u5CF4', '\\u61B2', '\\u648A', '\\u665B', '\\u6A4C', '\\u6D80', '\\u7017', '\\u732E', '\\u737B', '\\u73B0', '\\u73FE', '\\u770C', '\\u774D', '\\u7CAF', '\\u7CEE', '\\u7D64', '\\u7DAB', '\\u7DDA', '\\u7E23', '\\u7EBF', '\\u7F10', '\\u7FA1', '\\u7FA8', '\\u817A', '\\u81D4', '\\u81FD', '\\u82CB', '\\u83A7', '\\u86AC', '\\u8706', '\\u88A8', '\\u8AA2', '\\u8C4F', '\\u8F5E', '\\u92E7', '\\u930E', '\\u9650', '\\u9665', '\\u9677', '\\u9730', '\\u9921', '\\u9985', '\\u9EB2']"
195,SHANG1,"['\\u4F24', '\\u50B7', '\\u5546', '\\u5892', '\\u616F', '\\u6B87', '\\u6BA4', '\\u6EF3', '\\u6F21', '\\u71B5', '\\u850F', '\\u87AA', '\\u89DE', '\\u89F4', '\\u8B2A', '\\u9B3A']"
196,CHANG1,"['\\u4F25', '\\u5000', '\\u5A3C', '\\u660C', '\\u667F', '\\u6DD0', '\\u7316', '\\u7429', '\\u83D6', '\\u88EE', '\\u9329', '\\u9520', '\\u95B6', '\\u960A', '\\u9BE7', '\\u9CB3', '\\u9F1A']"
197,XUN4,"['\\u4F28', '\\u4F9A', '\\u5640', '\\u57C8', '\\u595E', '\\u5DFA', '\\u5DFD', '\\u5F87', '\\u6B89', '\\u6C5B', '\\u720B', '\\u72E5', '\\u8548', '\\u8A0A', '\\u8A13', '\\u8A19', '\\u8BAD', '\\u8BAF', '\\u8CD0', '\\u8FC5', '\\u8FFF', '\\u900A', '\\u905C', '\\u9442', '\\u9656', '\\u97D7', '\\u9868', '\\u9D54', '\\u9D55']"
198,XIN4,"['\\u4F29', '\\u4FE1', '\\u5342', '\\u56DF', '\\u5B5E', '\\u712E', '\\u7161', '\\u812A', '\\u820B', '\\u8845', '\\u8A2B', '\\u8ED0', '\\u91C1', '\\u9620', '\\u9856', '\\u99B8']"
199,ZHU4,"['\\u4F2B', '\\u4F47', '\\u4F4F', '\\u52A9', '\\u577E', '\\u5D40', '\\u677C', '\\u67F1', '\\u67F7', '\\u6A26', '\\u6BB6', '\\u6CE8', '\\u70B7', '\\u75B0', '\\u771D', '\\u795D', '\\u7ADA', '\\u7B6F', '\\u7BB8', '\\u7D35', '\\u7D38', '\\u7EBB', '\\u7F9C', '\\u7FE5', '\\u82E7', '\\u8387', '\\u8457', '\\u86C0', '\\u8A3B', '\\u8AD4', '\\u8DD3', '\\u8EF4', '\\u9252', '\\u92F3', '\\u9444', '\\u94F8', '\\u9714', '\\u98F3', '\\u99B5', '\\u99D0', '\\u9A7B', '\\u9E86']"
200,XUAN2,"['\\u4F2D', '\\u59B6', '\\u5AD9', '\\u60AC', '\\u61F8', '\\u65CB', '\\u66B6', '\\u6A88', '\\u6F29', '\\u7384', '\\u73B9', '\\u7401', '\\u7487', '\\u74BF', '\\u8701', '\\u8AB8', '\\u9E6E']"
201,NU2,"['\\u4F2E', '\\u5974', '\\u5B65', '\\u7B2F', '\\u8498', '\\u99D1', '\\u9A7D', '\\u9D11']"
202,GU1,"['\\u4F30', '\\u5471', '\\u5495', '\\u5903', '\\u59D1', '\\u5AF4', '\\u5B64', '\\u67E7', '\\u6A6D', '\\u6CBD', '\\u6CD2', '\\u7B1F', '\\u7B8D', '\\u7B9B', '\\u7F5B', '\\u82FD', '\\u83C7', '\\u83F0', '\\u86C4', '\\u89DA', '\\u8EF1', '\\u8F9C', '\\u9164', '\\u9232', '\\u94B4', '\\u9B95', '\\u9D23', '\\u9E2A']"
203,NI3,"['\\u4F31', '\\u4F32', '\\u4F60', '\\u5117', '\\u511E', '\\u5B74', '\\u62B3', '\\u62DF', '\\u64EC', '\\u65CE', '\\u67C5', '\\u72D4', '\\u79B0', '\\u82E8', '\\u85BF', '\\u9268', '\\u94CC', '\\u96AC', '\\u999C']"
204,BAN4,"['\\u4F34', '\\u529E', '\\u534A', '\\u59C5', '\\u6011', '\\u626E', '\\u62CC', '\\u6E74', '\\u74E3', '\\u79DA', '\\u7D46', '\\u7ECA', '\\u8FA6', '\\u9261', '\\u977D']"
205,XU4,"['\\u4F35', '\\u4F90', '\\u52D6', '\\u52D7', '\\u5379', '\\u53D9', '\\u57BF', '\\u58FB', '\\u5A7F', '\\u5E8F', '\\u6034', '\\u6064', '\\u6149', '\\u654D', '\\u6558', '\\u65ED', '\\u65EE', '\\u65EF', '\\u6702', '\\u69D2', '\\u6B88', '\\u6C7F', '\\u6C80', '\\u6D2B', '\\u6E86', '\\u6F35', '\\u6F4A', '\\u70C5', '\\u73EC', '\\u76E2', '\\u7781', '\\u77B2', '\\u7A38', '\\u7AA2', '\\u7D6E', '\\u7DD2', '\\u7DD6', '\\u7E8C', '\\u7EEA', '\\u7EED', '\\u805F', '\\u82A7', '\\u84C4', '\\u85C7', '\\u85DA', '\\u8A39', '\\u8CC9', '\\u9157', '\\u928A', '\\u980A', '\\u987C', '\\u9B46', '\\u9B63', '\\u9C6E']"
206,ZHOU4,"['\\u4F37', '\\u50FD', '\\u5191', '\\u546A', '\\u5492', '\\u54AE', '\\u5663', '\\u5B99', '\\u663C', '\\u665D', '\\u7503', '\\u76B1', '\\u76BA', '\\u7C40', '\\u7C52', '\\u7C55', '\\u7C99', '\\u7D02', '\\u7E10', '\\u7EA3', '\\u7EC9', '\\u80C4', '\\u836E', '\\u8464', '\\u8A4B', '\\u914E', '\\u99CE']"
207,SHEN1,"['\\u4F38', '\\u4F81', '\\u515F', '\\u547B', '\\u59BD', '\\u59FA', '\\u5A20', '\\u5C7E', '\\u5CF7', '\\u625F', '\\u67DB', '\\u6C20', '\\u6DF1', '\\u71CA', '\\u73C5', '\\u7521', '\\u7533', '\\u7837', '\\u7C76', '\\u7C78', '\\u7D33', '\\u7EC5', '\\u80C2', '\\u8398', '\\u8460', '\\u8593', '\\u88D1', '\\u8A37', '\\u8A75', '\\u8BDC', '\\u8EAB', '\\u926E', '\\u99EA', '\\u9BF5', '\\u9CB9', '\\u9D62']"
208,QU1,"['\\u4F39', '\\u4F49', '\\u51F5', '\\u5324', '\\u533A', '\\u5340', '\\u547F', '\\u5765', '\\u5C48', '\\u5C96', '\\u5CB4', '\\u5D87', '\\u6188', '\\u62BE', '\\u657A', '\\u66F2', '\\u7820', '\\u795B', '\\u80E0', '\\u86C6', '\\u86D0', '\\u88AA', '\\u8A58', '\\u8AB3', '\\u8D8B', '\\u8DA8', '\\u8EAF', '\\u8EC0', '\\u957C', '\\u9639', '\\u99C6', '\\u99C8', '\\u9A45', '\\u9A71', '\\u9AF7', '\\u9B7C', '\\u9C38', '\\u9C4B', '\\u9D8C', '\\u9EE2']"
209,BENG1,"['\\u4F3B', '\\u5623', '\\u5D29', '\\u5D6D', '\\u794A', '\\u7DB3', '\\u7E43', '\\u7EF7', '\\u958D']"
210,QIE2,"['\\u4F3D', '\\u767F', '\\u8304']"
211,AI3,"['\\u4F41', '\\u566F', '\\u5A3E', '\\u6639', '\\u6B38', '\\u6BD0', '\\u77EE', '\\u853C', '\\u85F9', '\\u8EB7', '\\u972D', '\\u9744', '\\u99A4']"
212,DIAN4,"['\\u4F43', '\\u576B', '\\u57AB', '\\u588A', '\\u58C2', '\\u5960', '\\u5A5D', '\\u5E97', '\\u60E6', '\\u6242', '\\u6A42', '\\u6BBF', '\\u6DC0', '\\u6FB1', '\\u73B7', '\\u7414', '\\u7535', '\\u7538', '\\u75C1', '\\u765C', '\\u78F9', '\\u7C1F', '\\u8714', '\\u923F', '\\u94BF', '\\u963D', '\\u96FB', '\\u975B']"
213,HAN2,"['\\u4F44', '\\u51FD', '\\u51FE', '\\u542B', '\\u5705', '\\u5A22', '\\u5BD2', '\\u5D21', '\\u6657', '\\u6892', '\\u6DB5', '\\u7113', '\\u7400', '\\u7B68', '\\u80A3', '\\u9097', '\\u90AF', '\\u92E1', '\\u97D3', '\\u97E9']"
214,MAI4,"['\\u4F45', '\\u52A2', '\\u52F1', '\\u5356', '\\u58F2', '\\u773F', '\\u8108', '\\u8109', '\\u8750', '\\u8CE3', '\\u8FC8', '\\u9081', '\\u9722', '\\u9EA5', '\\u9EA6']"
215,DAN4,"['\\u4F46', '\\u50E4', '\\u5556', '\\u5557', '\\u557F', '\\u5649', '\\u56AA', '\\u5E0E', '\\u5F39', '\\u5F3E', '\\u5F48', '\\u60EE', '\\u619A', '\\u61BA', '\\u62C5', '\\u65E6', '\\u66BA', '\\u67E6', '\\u6C2E', '\\u6C8A', '\\u6DE1', '\\u6F6C', '\\u6FB9', '\\u72DA', '\\u758D', '\\u7605', '\\u7649', '\\u765A', '\\u7A9E', '\\u8145', '\\u81BB', '\\u8215', '\\u840F', '\\u86CB', '\\u8711', '\\u89DB', '\\u8A95', '\\u8BDE', '\\u926D', '\\u94BD', '\\u972E', '\\u994F', '\\u99BE', '\\u99F3', '\\u9AE7', '\\u9D20']"
216,BI3,"['\\u4F4A', '\\u4FFE', '\\u5315', '\\u5421', '\\u555A', '\\u5936', '\\u59A3', '\\u5F7C', '\\u673C', '\\u67C0', '\\u6BD4', '\\u6C98', '\\u6ED7', '\\u6F77', '\\u7595', '\\u79D5', '\\u7B14', '\\u7B46', '\\u7C83', '\\u868D', '\\u8C8F', '\\u9119']"
217,SHAO4,"['\\u4F4B', '\\u52AD', '\\u5372', '\\u54E8', '\\u5A0B', '\\u6F72', '\\u7744', '\\u7D39', '\\u7DA4', '\\u7ECD', '\\u8891', '\\u90B5', '\\u98B5']"
218,CI3,"['\\u4F4C', '\\u6B64', '\\u6CDA', '\\u73BC', '\\u7689', '\\u7D2A', '\\u8DD0']"
219,ZUO3,"['\\u4F50', '\\u5497', '\\u5528', '\\u5DE6', '\\u6BD1', '\\u7E53']"
220,YANG1,"['\\u4F52', '\\u5489', '\\u592E', '\\u59CE', '\\u67CD', '\\u6B83', '\\u6CF1', '\\u770F', '\\u79E7', '\\u7D3B', '\\u80E6', '\\u9260', '\\u9D26', '\\u9E2F']"
221,TI3,"['\\u4F53', '\\u632E', '\\u8EB0', '\\u8EC6', '\\u9AB5', '\\u9AD4']"
222,ZHAN4,"['\\u4F54', '\\u5061', '\\u5D98', '\\u6218', '\\u6226', '\\u6230', '\\u6808', '\\u685F', '\\u68E7', '\\u693E', '\\u6E5B', '\\u7AD9', '\\u7DBB', '\\u7EFD', '\\u83DA', '\\u8638', '\\u8665', '\\u8666', '\\u89B1', '\\u8E54', '\\u8F1A', '\\u8F4F', '\\u986B', '\\u98A4']"
