,词语,数量
455,成,155
456,琴,155
457,者,154
458,添,154
459,多少,154
460,药,154
461,茗,154
462,桂,154
463,钟,154
464,不大,154
465,尽,153
466,总,153
467,姐妹,153
468,安,152
469,难,152
470,以,151
471,因此,151
472,长,151
473,少,151
474,赏,151
475,云,150
476,合,150
477,日,149
478,走来,149
479,半日,149
480,对,148
481,一点,148
482,混,146
483,糊涂,145
484,恐,145
485,正是,144
486,本,144
487,生气,144
488,奴才,144
489,俱,143
490,略,143
491,生,142
492,学,142
493,迎春,142
494,也罢,142
495,入,141
496,许多,141
497,以后,141
498,似的,141
499,后来,140
500,老,140
501,所,139
502,烟,139
503,办,139
504,定,138
505,伏侍,138
506,天天,138
507,然后,137
508,回头,137
509,大夫,137
510,不来,137
511,敢,136
512,唬,136
513,回家,136
514,请安,136
515,一天,136
516,系,135
517,不理,135
518,不着,135
519,林之孝,135
520,儿子,134
521,嬷嬷,134
522,赵姨娘,134
523,传,133
524,二十,133
525,甚,133
526,太,133
527,行,133
528,常,133
529,莺,133
530,预备,133
531,一般,132
532,情,132
533,正在,131
534,打听,131
535,可是,131
536,刚,131
537,取,131
538,穿,131
539,林姑娘,131
540,收,130
541,日子,130
542,收拾,130
543,房里,130
544,发人,130
545,不可,129
546,却是,129
547,十分,129
548,爷,129
549,章,129
550,次日,129
551,领,129
552,哥儿,129
553,前日,129
554,年纪,128
555,即,128
556,令,128
557,信,128
558,贾母笑,128
559,园,128
560,纹,128
561,物,127
562,必是,127
563,父亲,127
564,兰,127
565,不许,127
566,来回,127
567,可以,126
568,悄悄的,126
569,意,125
570,留,125
571,能,125
572,第,125
573,天,124
574,干,124
575,似,124
576,这么着,124
577,闻,123
578,一口,123
579,声,123
580,分,123
581,回道,123
582,头儿,123
583,乱,122
584,兴,122
585,买,122
586,下回,122
587,分解,122
588,冷笑,122
589,祖宗,121
590,外面,121
591,各自,121
592,最,120
593,念,120
594,和尚,120
595,本章,120
596,园里,120
597,必,119
598,下回分解,119
599,新,119
600,画,119
601,孩儿,119
602,派,119
603,若是,119
604,理,118
605,及,118
606,昨日,118
607,不管,118
608,门上,118
609,倘或,118
610,嘴,118
611,故,117
612,馀,117
613,明,117
614,水,117
615,随,117
616,坐在,117
617,要紧,116
618,女孩儿,116
619,昨儿,116
620,地下,116
621,蟾,116
622,那时,115
623,句,115
624,没了,115
625,园中,115
626,年,114
627,早已,114
628,丢,114
629,走到,114
630,吃饭,114
631,各处,113
632,王,113
633,便道,112
634,怪,111
635,全,111
636,光景,111
637,三个,111
638,算,111
639,正经,111
640,虽不,110
641,地方,110
642,张,110
643,姨太,110
644,姨太太,110
645,婶娘,110
646,眼,109
647,几句,109
648,将来,109
649,越,109
650,愿意,109
651,女人,109
652,老婆子,109
653,不要,108
654,捧,108
655,虽然,108
656,一年,108
657,无人,108
658,说起,108
659,四个,108
660,原故,108
661,巧,108
662,伺候,107
663,娘,107
664,亲戚,107
665,一夜,106
666,极,106
667,陪,106
668,不言,106
669,上头,106
670,来看,105
671,宝钗笑,105
672,语,104
673,复,104
674,受,104
675,蝌,104
676,之事,103
677,几年,103
678,园子,103
679,焙,103
680,实在,102
681,饭,102
682,寻,102
683,不想,102
684,礼,102
685,站起,102
686,事情,102
687,样儿,102
688,恼,102
689,你老,102
690,宝二爷,102
691,便是,101
692,女,101
693,发,101
694,冷,101
695,里面,101
696,吓,101
697,哄,101
698,忽然,101
699,少不得,101
700,上去,100
701,娶,100
702,底下,100
703,说出,100
704,司,100
705,赶着,100
706,托,99
707,商议,99
708,提起,99
709,妈,99
710,包,99
711,拿出,98
712,点,98
713,妃,98
714,主子,98
715,一块,96
716,泪,96
717,不便,96
718,这边,96
719,不曾,96
720,可知,96
721,使得,96
722,想来,96
723,头子,96
724,手里,96
725,名,95
726,家中,95
727,父母,95
728,另,95
729,高兴,95
730,则,94
731,梦,94
732,陪笑,94
733,配,94
734,容易,94
735,这件,94
736,这般,94
737,好好,94
738,一场,93
739,独,93
740,闲话,93
741,动,93
742,当,92
743,遇见,92
744,现在,92
745,换,92
746,不依,92
747,乃,91
748,一遍,91
749,只要,91
750,蔷,91
751,省,90
752,细细,90
753,身子,90
754,只好,90
755,可不是,90
756,银,89
757,可巧,89
758,宁,89
759,好生,89
760,侄儿,89
761,拣,89
762,林妹妹,89
763,五儿,89
764,告,88
765,地,88
766,认得,88
767,正要,88
768,素,88
769,有事,88
770,不然,88
771,刚才,88
772,单,88
773,法儿,88
774,几天,88
775,旺,88
776,曾,87
777,十二,87
778,戏,87
779,呆,87
780,恨,87
781,生日,87
782,凡,87
783,伤心,87
784,二则,87
785,出门,87
786,要是,87
787,脸上,87
788,一番,86
789,归,86
790,贼,86
791,嚷,86
792,好歹,86
793,晚上,86
